class_no,sect_no,class_number,class_name,place,entry_no,horse,rider,owner,score,prize
33433,11980,18,"$250 Green Hunter 3'3""/3'6""",1,2011,Fpf First Edition,Jenny Miller,Jenny Miller,81.00,$210
33433,11980,18,"$250 Green Hunter 3'3""/3'6""",2,1012,San Destin,Caelyn Grodoski,Caelyn Grodoski,77.00,$154
33433,11980,18,"$250 Green Hunter 3'3""/3'6""",3,1191,Wordsmith,Victoria Free Knott,Allison Wise,45.00,$105
33434,11980,19,"$250 Green Hunter 3'3""/3'6""",1,2011,Fpf First Edition,Jenny Miller,Jenny Miller,80.00,$210
33434,11980,19,"$250 Green Hunter 3'3""/3'6""",2,1191,Wordsmith,Victoria Free Knott,Allison Wise,78.00,$154
33434,11980,19,"$250 Green Hunter 3'3""/3'6""",3,1012,San Destin,Caelyn Grodoski,Caelyn Grodoski,75.00,$105
33435,11980,20,"$250 Green Hunter 3'3""/3'6""",1,1191,Wordsmith,Victoria Free Knott,Allison Wise,84.00,$75
33435,11980,20,"$250 Green Hunter 3'3""/3'6""",2,2011,Fpf First Edition,Jenny Miller,Jenny Miller,82.00,$55
33435,11980,20,"$250 Green Hunter 3'3""/3'6""",3,1012,San Destin,Caelyn Grodoski,Caelyn Grodoski,68.00,$37.5
33436,11980,21,"$250 Green Hunter 3'3""/3'6""",1,1191,Wordsmith,Victoria Free Knott,Allison Wise,86.00,$210
33436,11980,21,"$250 Green Hunter 3'3""/3'6""",2,2011,Fpf First Edition,Jenny Miller,Jenny Miller,82.00,$154
33436,11980,21,"$250 Green Hunter 3'3""/3'6""",3,1012,San Destin,Caelyn Grodoski,Caelyn Grodoski,44.00,$105
33437,11980,22,"Green Hunter 3'3""/3'6"" U/S",1,1191,Wordsmith,Victoria Free Knott,Allison Wise,0.00,$60
33437,11980,22,"Green Hunter 3'3""/3'6"" U/S",2,1012,San Destin,Caelyn Grodoski,Caelyn Grodoski,0.00,$44
33437,11980,22,"Green Hunter 3'3""/3'6"" U/S",3,2011,Fpf First Edition,Jenny Miller,Jenny Miller,0.00,$30
28358,10281,33,"$250 Green Hunter 3'0""",1,2000,Pomme Pasall,Cora Schiavone,Cora Schiavone,83.00,$75
28358,10281,33,"$250 Green Hunter 3'0""",2,1977,Just A Gentleman,Victoria Free Knott,Brittany G. Wyatt,78.00,$55
28358,10281,33,"$250 Green Hunter 3'0""",3,2105,Officer,Annie P. Bolling,Elizabeth Box,72.00,$37.5
28358,10281,33,"$250 Green Hunter 3'0""",4,1823,Aperture Vf,Lia Screnci,Volado Farms,67.00,$30
28358,10281,33,"$250 Green Hunter 3'0""",5,1760,Pistachio,Stephanie Frey,Tarrin Kirby,45.00,$27.5
28359,10281,34,"$250 Green Hunter 3'0""",1,2000,Pomme Pasall,Cora Schiavone,Cora Schiavone,80.50,$75
28359,10281,34,"$250 Green Hunter 3'0""",2,1760,Pistachio,Stephanie Frey,Tarrin Kirby,79.00,$55
28359,10281,34,"$250 Green Hunter 3'0""",3,1977,Just A Gentleman,Victoria Free Knott,Brittany G. Wyatt,78.00,$37.5
28359,10281,34,"$250 Green Hunter 3'0""",4,2105,Officer,Annie P. Bolling,Elizabeth Box,77.00,$30
28359,10281,34,"$250 Green Hunter 3'0""",5,1823,Aperture Vf,Lia Screnci,Volado Farms,45.00,$27.5
28360,10281,35,"$250 Green Hunter 3'0""",1,1977,Just A Gentleman,Victoria Free Knott,Brittany G. Wyatt,80.00,$75
28360,10281,35,"$250 Green Hunter 3'0""",2,1760,Pistachio,Stephanie Frey,Tarrin Kirby,79.00,$55
28360,10281,35,"$250 Green Hunter 3'0""",3,1823,Aperture Vf,Lia Screnci,Volado Farms,75.00,$37.5
28360,10281,35,"$250 Green Hunter 3'0""",4,2105,Officer,Annie P. Bolling,Elizabeth Box,65.00,$30
28360,10281,35,"$250 Green Hunter 3'0""",5,2000,Pomme Pasall,Abby Strohmeyer,Cora Schiavone,45.00,$27.5
28361,10281,36,"$250 Green Hunter 3'0""",1,1977,Just A Gentleman,Victoria Free Knott,Brittany G. Wyatt,83.00,$75
28361,10281,36,"$250 Green Hunter 3'0""",2,1760,Pistachio,Stephanie Frey,Tarrin Kirby,82.00,$55
28361,10281,36,"$250 Green Hunter 3'0""",3,2000,Pomme Pasall,Abby Strohmeyer,Cora Schiavone,80.00,$37.5
28361,10281,36,"$250 Green Hunter 3'0""",4,2105,Officer,Annie P. Bolling,Elizabeth Box,78.50,$30
28361,10281,36,"$250 Green Hunter 3'0""",5,1823,Aperture Vf,Lia Screnci,Volado Farms,76.00,$27.5
28362,10281,37,"Green Hunter 3'0"" U/S",1,2000,Pomme Pasall,Cora Schiavone,Cora Schiavone,0.00,
28362,10281,37,"Green Hunter 3'0"" U/S",2,1760,Pistachio,Stephanie Frey,Tarrin Kirby,0.00,
28362,10281,37,"Green Hunter 3'0"" U/S",3,1977,Just A Gentleman,Victoria Free Knott,Brittany G. Wyatt,0.00,
28362,10281,37,"Green Hunter 3'0"" U/S",4,2105,Officer,Annie P. Bolling,Elizabeth Box,0.00,
28362,10281,37,"Green Hunter 3'0"" U/S",5,1823,Aperture Vf,Lia Screnci,Volado Farms,0.00,
33428,11979,38,"$200 Performance Hunter 3'6""/3'3""",1,1662,Miles Ahead,Katherine F. Dewar,Katherine F. Dewar,83.00,$60
33428,11979,38,"$200 Performance Hunter 3'6""/3'3""",2,2366,Kandoo Pj,Jake Evans,Equestrian Dreams LLC,82.00,$44
