class_no,sect_no,class_number,class_name,place,entry_no,horse,rider,owner,score,prize
33493,11990,13,"$400 High Perf 4'/Perf Hunter 3'6""",1,3018,Corzico Melloni Z,Dorothy Douglas,Brody Sporthorses,76.00,$120
33493,11990,13,"$400 High Perf 4'/Perf Hunter 3'6""",2,2827,Lord Carlino,Alexandra Hird,Mad Maple Farm LLC,,$88
33493,11990,13,"$400 High Perf 4'/Perf Hunter 3'6""",3,1790,Cataumet,Lauren Schweppe,Cynthia Boudreau,68.00,$88
33493,11990,13,"$400 High Perf 4'/Perf Hunter 3'6""",4,1082,Skat 15,Laura Linback,Woodrun,65.00,$60
33493,11990,13,"$400 High Perf 4'/Perf Hunter 3'6""",5,1854,Keira Usa,Madison Wayda Smith,Julie P. Montgomery,45.00,$48
33494,11990,14,"$400 High Perf 4'/Perf Hunter 3'6""",1,1790,Cataumet,Lauren Schweppe,Cynthia Boudreau,84.00,$120
33494,11990,14,"$400 High Perf 4'/Perf Hunter 3'6""",2,3018,Corzico Melloni Z,Dorothy Douglas,Brody Sporthorses,82.00,$88
33494,11990,14,"$400 High Perf 4'/Perf Hunter 3'6""",3,2827,Lord Carlino,Alexandra Hird,Mad Maple Farm LLC,,$60
33494,11990,14,"$400 High Perf 4'/Perf Hunter 3'6""",4,1854,Keira Usa,Madison Wayda Smith,Julie P. Montgomery,46.00,$60
33494,11990,14,"$400 High Perf 4'/Perf Hunter 3'6""",5,1082,Skat 15,Laura Linback,Woodrun,45.00,$48
33495,11990,15,"$400 High Perf 4'/Perf Hunter 3'6""",1,1790,Cataumet,Lauren Schweppe,Cynthia Boudreau,88.00,$120
33495,11990,15,"$400 High Perf 4'/Perf Hunter 3'6""",2,2736,Olimpink Melloni,Timothy Maddrix,Kristina L. Groselle,87.00,$88
33495,11990,15,"$400 High Perf 4'/Perf Hunter 3'6""",3,2612,Marshall,Timothy Maddrix,Missy R. Nolen,86.00,$60
33495,11990,15,"$400 High Perf 4'/Perf Hunter 3'6""",4,3018,Corzico Melloni Z,Dorothy Douglas,Brody Sporthorses,85.00,$48
33495,11990,15,"$400 High Perf 4'/Perf Hunter 3'6""",5,2926,Clever,Jake Evans,Isltime LLC,84.00,$44
33495,11990,15,"$400 High Perf 4'/Perf Hunter 3'6""",6,2827,Lord Carlino,Alexandra Hird,Mad Maple Farm LLC,81.00,$40
33495,11990,15,"$400 High Perf 4'/Perf Hunter 3'6""",7,2011,Fpf First Edition,Jenny Miller,Jenny Miller,77.00,
33495,11990,15,"$400 High Perf 4'/Perf Hunter 3'6""",8,1577,Game Day,Audrey Haywood,Audrey Haywood,76.00,
33495,11990,15,"$400 High Perf 4'/Perf Hunter 3'6""",,1082,Skat 15,Laura Linback,Woodrun,75.00,
33495,11990,15,"$400 High Perf 4'/Perf Hunter 3'6""",,2303,Nielson Wh,Margaret L. Swanson,Mike Holtkamp,69.00,
33496,11990,16,"$400 High Perf 4' / Perf Hunter-Handy 3'6""",1,2736,Olimpink Melloni,Timothy Maddrix,Kristina L. Groselle,87.00,$120
33496,11990,16,"$400 High Perf 4' / Perf Hunter-Handy 3'6""",2,2612,Marshall,Timothy Maddrix,Missy R. Nolen,86.00,$88
33496,11990,16,"$400 High Perf 4' / Perf Hunter-Handy 3'6""",3,3018,Corzico Melloni Z,Dorothy Douglas,Brody Sporthorses,85.00,$60
33496,11990,16,"$400 High Perf 4' / Perf Hunter-Handy 3'6""",4,1790,Cataumet,Lauren Schweppe,Cynthia Boudreau,84.00,$48
33496,11990,16,"$400 High Perf 4' / Perf Hunter-Handy 3'6""",5,1082,Skat 15,Laura Linback,Woodrun,81.00,$44
33496,11990,16,"$400 High Perf 4' / Perf Hunter-Handy 3'6""",6,2926,Clever,Jake Evans,Isltime LLC,76.00,$40
33496,11990,16,"$400 High Perf 4' / Perf Hunter-Handy 3'6""",7,2303,Nielson Wh,Margaret L. Swanson,Mike Holtkamp,74.00,
33496,11990,16,"$400 High Perf 4' / Perf Hunter-Handy 3'6""",8,2827,Lord Carlino,Alexandra Hird,Mad Maple Farm LLC,45.00,
33496,11990,16,"$400 High Perf 4' / Perf Hunter-Handy 3'6""",,1577,Game Day,Audrey Haywood,Audrey Haywood,44.00,
33497,11990,17,"$150 High Perf 4'/Perf Hunter 3'6"" U/S",1,3018,Corzico Melloni Z,Dorothy Douglas,Brody Sporthorses,0.00,$45
33497,11990,17,"$150 High Perf 4'/Perf Hunter 3'6"" U/S",2,1082,Skat 15,Laura Linback,Woodrun,,$33
33497,11990,17,"$150 High Perf 4'/Perf Hunter 3'6"" U/S",3,2736,Olimpink Melloni,Timothy Maddrix,Kristina L. Groselle,0.00,$22.5
33497,11990,17,"$150 High Perf 4'/Perf Hunter 3'6"" U/S",,1577,Game Day,Audrey Haywood,Audrey Haywood,,
29297,10465,28,"$350 Green Hunter 3'3""",1,3022,Netezwiggy Vd Watermolen,Dorothy Douglas,"Yellowstone, LLC",83.00,$105
29297,10465,28,"$350 Green Hunter 3'3""",2,2182,Outlaw,Robert P. Stucky,Isabella Agliano,76.00,$77
29297,10465,28,"$350 Green Hunter 3'3""",3,1760,Pistachio,Stephanie Frey,Tarrin Kirby,75.50,$52.5
29297,10465,28,"$350 Green Hunter 3'3""",4,2867,Chef Special,Tracy Fenney,John R. French,75.00,$42
29297,10465,28,"$350 Green Hunter 3'3""",5,1576,Cadenza,Kelsey Duffy,Amelia Ruth,74.00,$38.5
29297,10465,28,"$350 Green Hunter 3'3""",6,2720,Espresso,Molly Frei,Frei Equestrian LLC,70.00,$35
29297,10465,28,"$350 Green Hunter 3'3""",7,2927,Dexter,Jake Evans,Isltime LLC,50.00,
29297,10465,28,"$350 Green Hunter 3'3""",8,2329,Mtm Rico Suave,Tracy Fenney,Mtm Farm,45.00,
29298,10465,29,"$350 Green Hunter 3'3""",1,2182,Outlaw,Robert P. Stucky,Isabella Agliano,84.00,$105
29298,10465,29,"$350 Green Hunter 3'3""",2,2867,Chef Special,Tracy Fenney,John R. French,83.00,$77
