class_no,sect_no,class_number,class_name,place,entry_no,horse,rider,owner,score,prize
29133,10488,644,$1000 1.30m Jumper II.2b,2,2993,Delando De St Leger,Dorothy Douglas,Daniel Geitner,,$220
29133,10488,644,$1000 1.30m Jumper II.2b,1,2929,Kaytaro,Declan Egan,Andrea Belofsky,,$300
29133,10488,644,$1000 1.30m Jumper II.2b,6,2719,Nobeltje,Amanda Gomez,Sara Mast,,$100
29133,10488,644,$1000 1.30m Jumper II.2b,3,1768,Mistigrise Du Seigneur,Robert Mendoza,Chelsea N. Kasper,,$150
29133,10488,644,$1000 1.30m Jumper II.2b,8,1336,Dorothea Mystic Rose,Juan M. Bolanos,Bzb Barn LLC,,
29133,10488,644,$1000 1.30m Jumper II.2b,,1587,Dominance Z,Captain Brian Cournane,Glenbeigh Farm LLC,,
29133,10488,644,$1000 1.30m Jumper II.2b,4,2204,5o1 Stakkatol's Dream,Jacob Fletcher,Fletcher Farms,,$120
29133,10488,644,$1000 1.30m Jumper II.2b,5,1988,Uphoria Di June,Sarah Gordon,"Golden Farm, LLC",,$110
29133,10488,644,$1000 1.30m Jumper II.2b,,1275,Norton Vdl,Abby Grabowski,Abby Grabowski,,
29133,10488,644,$1000 1.30m Jumper II.2b,,2731,Picar,Mario Garcia,Mario Garcia,,
29133,10488,644,$1000 1.30m Jumper II.2b,,2197,King William,Sharn L. Wordley,Della Wordley,,
29133,10488,644,$1000 1.30m Jumper II.2b,7,3087,India-S,Luciano Dome,Lola Bacardi,,
29133,10488,644,$1000 1.30m Jumper II.2b,,2199,Tobias Van Kreyel Mc,Lauren Balcomb,Jessica Steindorff,,
29133,10488,644,$1000 1.30m Jumper II.2b,,1105,Legacy Rs,Lauren E. Hough,M&m High Standards,,
29133,10488,644,$1000 1.30m Jumper II.2b,,2373,Rozsa,Anthony Sauriol,Mi Casa Stable Holdings Inc.,,
29133,10488,644,$1000 1.30m Jumper II.2b,,2185,Inka Malpic,Rebecca Conway,Lavan Sus,,
29133,10488,644,$1000 1.30m Jumper II.2b,,2093,Dragonfly,Nora Nauss,Team Eye Candy,,
29133,10488,644,$1000 1.30m Jumper II.2b,,1853,Indiana De Riverland,Declan Egan,Izabella Mcnerney,,
29133,10488,644,$1000 1.30m Jumper II.2b,,2631,Zhardas Kil,Ashlynn Meuchel,White Lightening,,
29133,10488,644,$1000 1.30m Jumper II.2b,,1025,Dodicci,Tanner Korotkin,"Castlewood Farm, Inc.",,
29133,10488,644,$1000 1.30m Jumper II.2b,,1035,Ideal,Grace Lyons,Redwood Equestrian LLC,,
29133,10488,644,$1000 1.30m Jumper II.2b,,1213,Gof Casamigos,Megan Wexler,"Golden Oaks Farm, LLC",,
29133,10488,644,$1000 1.30m Jumper II.2b,,1244,Kankan,Brittni A. Raflowitz,Esi Show Jumpers,,
29133,10488,644,$1000 1.30m Jumper II.2b,,1455,Phoenix Air,Lanie Nash,Jackie Sawyer,,
29133,10488,644,$1000 1.30m Jumper II.2b,,1546,Tupac Van De Vrombautshoeve Z,Paige Jones,"Amberfax Farm, Inc",,
29133,10488,644,$1000 1.30m Jumper II.2b,,1694,Hector Du Gue,Declan Egan,Ryan Haselden,,
29133,10488,644,$1000 1.30m Jumper II.2b,,1837,Os Quincy,Rebecca Warth,"Warbuck Investments, LLC",,
29133,10488,644,$1000 1.30m Jumper II.2b,,1864,La India Catania,Celso Ariani,San Marino Stables,,
29133,10488,644,$1000 1.30m Jumper II.2b,,1913,Boleybawn Rolo,Bryce P. Richardson,Molly A. Kenney,,
29133,10488,644,$1000 1.30m Jumper II.2b,,2152,Bluebelle,Andres A. Correa,Andrea Correa,,
29133,10488,644,$1000 1.30m Jumper II.2b,,2157,Streya,Jacqueline Steffens Daly,Daly International LLC,,
29133,10488,644,$1000 1.30m Jumper II.2b,,2174,Komet 306,Noemi Koziol,Richard Vogel,,
29133,10488,644,$1000 1.30m Jumper II.2b,,2196,Kan So,Diego Farje,Timothy I. Hooker,,
29133,10488,644,$1000 1.30m Jumper II.2b,,2630,Vamos,Ashlynn Meuchel,Drumnacross LLC,,
29133,10488,644,$1000 1.30m Jumper II.2b,,2997,Qatar,Hector Florentino,Jasmine Becton,,
29133,10488,644,$1000 1.30m Jumper II.2b,,3007,Del'arkan,Camille Maynard,Maarten Huygens,,
29133,10488,644,$1000 1.30m Jumper II.2b,,3086,Accelerator,Fabian Herrera,Fabian Herrera,,
