class_no,sect_no,class_number,class_name,place,entry_no,horse,rider,owner,score,prize
29051,10534,255,USHJA Hunter 2',1,2138,Madhappy,Joan V. Ehrhart,Allrsfarm LLC,,
29051,10534,255,USHJA Hunter 2',2,1496,Somermist Secret Admirer,Katherine Addington,Daniel King,,
29051,10534,255,USHJA Hunter 2',3,1489,Crown Ridge Footloose,Bay Hammer,Bibby F. Hill,,
29051,10534,255,USHJA Hunter 2',4,3038,Scarlett O'hara,Katherine Addington,James E. York,,
29051,10534,255,USHJA Hunter 2',5,1487,Annandale Sherlock,Katherine Addington,Linden Nguyen,,
29051,10534,255,USHJA Hunter 2',6,1509,Amuze Bouche,Wendy J. Hechler,Valentini Equestrian LLC,,
29051,10534,255,USHJA Hunter 2',7,1788,Confidentially,Charlotte Mack,Lakeview Farm,,
29051,10534,255,USHJA Hunter 2',8,2137,Falling Moon Front Page,Kennedy Kluber,Kennedy Kluber,,
29051,10534,255,USHJA Hunter 2',,1090,City Of Angels,Sabine Clark,Sabine Clark,,
29051,10534,255,USHJA Hunter 2',,1196,Carolina Bay,Emily Mckendry,Tonya Brown,,
29051,10534,255,USHJA Hunter 2',,1491,Dunkin Donuts,Katherine Addington,Canterbury Farm,,
29051,10534,255,USHJA Hunter 2',,1497,True Love's Kiss,Katherine Addington,Caitlin Weaver,,
29051,10534,255,USHJA Hunter 2',,1836,Cento Forever,Rebecca Warth,Pamela Mattel,,
29051,10534,255,USHJA Hunter 2',,2141,So Dashing,Joan V. Ehrhart,Sprucedale Inc,,
29051,10534,255,USHJA Hunter 2',,2386,Marvick,Sierra Montgomery,Kevin C. Eufemia,,
29051,10534,255,USHJA Hunter 2',,3033,Mr. Ed,Robert P. Stucky,Sharrone Peters,,
29052,10534,256,USHJA Hunter 2',1,1496,Somermist Secret Admirer,Katherine Addington,Daniel King,,
29052,10534,256,USHJA Hunter 2',2,3038,Scarlett O'hara,Katherine Addington,James E. York,,
29052,10534,256,USHJA Hunter 2',3,1487,Annandale Sherlock,Katherine Addington,Linden Nguyen,,
29052,10534,256,USHJA Hunter 2',4,1196,Carolina Bay,Emily Mckendry,Tonya Brown,,
